locale,key,lineno,text
de,CS_IGN_BINTARGETONLY_ERROR,1.0,Der Knoten Interaktive Gruppierung unterst\u00fctzt nur bin\u00e4re Ziele.
de,CS_IGN_FROZEN_BINS_VLABEL,1.0,Eingefrorene Intervalle generieren
de,CS_IGN_GRPVAR_VLABEL,1.0,Gruppenvariable
de,CS_IGN_INPUTVAR_VLABEL,1.0,Eingabevariable
de,CS_IGN_NOFINEDETAIL_ERROR,1.0,"Eingefrorene Gruppierungen verwenden ist aktiviert, die Datei FineDetail ist jedoch nicht verf\u00fcgbar."
de,CS_IGN_NONBINTARGETTRANS_ERROR,1.0,Es wurde ein nicht-bin\u00e4res Ziel aus dem Intervallziel erstellt.
de,CS_IGN_NOWOE_ERROR,1.0,"F\u00fcr den Export einer Gruppe ist eine WOE-Datei erforderlich, es ist jedoch keine vorhanden."
de,CS_IGN_REPORT_FAIL_ERROR,1.0,Reporting f\u00fcr Knoten ist fehlgeschlagen.
de,CS_IGN_SCORE_FAIL_ERROR,1.0,Scoring f\u00fcr Knoten Interaktive Gruppierung ist fehlgeschlagen.
de,CS_IGN_SETUP_FAIL_ERROR,1.0,Initiale Einrichtung f\u00fcr Knoten Interaktive Gruppierung ist fehlgeschlagen.
de,CS_IGN_SET_PROPERTIES_FAIL_ERROR,1.0,Einrichten der Eigenschaften f\u00fcr Knoten Interaktive Gruppierung ist fehlgeschlagen.
de,CS_IGN_TRAIN_FAIL_ERROR,1.0,Training f\u00fcr Knoten Interaktive Gruppierung ist fehlgeschlagen.
de,CS_IGN_WOEVAR_VLABEL,1.0,Evidenzgewichtung (WOE)
de,DM_ACCEPTINGNOMINALTARGET_WARNING,1.0,"SAS Visual Analytics hat ein Ziel (%s) gesendet und dieses als Nominal getagged, obwohl es nur zwei Auspr\u00e4gungen besitzt. SVM ben\u00f6tigt eine Ebene Bin\u00e4r, daher wird diese Komponente fehlschlagen, wenn sie im Ablauf ausgef\u00fchrt wird."
de,DM_ASE_VLABEL,1.0,Mittlerer quadratischer Fehler
de,DM_ASTOREMISSING_ERROR,1.0,Der Analytic Store %#1s wurde in der Datenquelle f\u00fcr die CASLIB %#2s nicht gefunden.
de,DM_BATCHCODEFILENOTVALID,1.0,Die angegebene Datei ist kein g\u00fcltiger Enterprise Miner Batch Code.
de,DM_BINARYNOMINALTARGET_ERROR,1.0,Bin\u00e4r- oder Nominalziel muss verwendet werden.
de,DM_BNET_NOSTRUCTURE_ERROR,1.0,"Sie m\u00fcssen mindestens eine Netzwerkstruktur angeben (NAIVE, TAN, PC oder MB)."
de,DM_CANNOTLOADASTORE_ERROR,1.0,Der Analytic Store %#1s kann nicht in CAS-Bibliothek %#2s geladen werden.
de,DM_CANNOTLOADTABLE_ERROR,1.0,Die Tabelle %#1s kann nicht in die CAS-Bibliothek %#2s geladen werden.
de,DM_CANNOTPROMOTETABLE_ERROR,1.0,Die Tabelle kann nicht in die angegebene CAS-Bibliothek eingestellt werden.
de,DM_CANNOTRETRIEVESTATUS_ERROR,1.0,"Die Modelle k\u00f6nnen nicht zusammengesetzt werden, da der Ausf\u00fchrungsstatus f\u00fcr Modell %#1s nicht abgerufen werden konnte."
de,DM_CANNOTRETRIEVETARGETLEVELINFO_ERROR,1.0,Zielinformationentabelle kann nicht abgerufen werden.
de,DM_CANNOTSAVETABLE2_ERROR,1.0,Die Tabelle %#2s kann in der %#1s Ausgabe-CAS-Bibliothek nicht gespeichert werden.
de,DM_CANNOTSAVETABLE_ERROR,1.0,Tabelle kann in der angegebenen Ausgabe-CAS-Bibliothek nicht gespeichert werden.
de,DM_CASACTIONFAILURE_ERROR,1.0,"Beim Ausf\u00fchren einer CAS-Aktion in Makro %#1s wurden folgender Statuscode und Schweregrad zur\u00fcckgegeben: %#2s, %#3s."
de,DM_CASTABLENOTEXIST_ERROR,1.0,Die CAS-Tabelle %s ist nicht vorhanden.
de,DM_CLLEV_DATANOTSPECIFIED_ERROR,1.0,F\u00fcr die Verarbeitung von Klassenvariablen wurde keine Datenquelle angegeben.
de,DM_CLLEV_NODATA_ERROR,1.0,Quelltabelle '%s' f\u00fcr die Verarbeitung der Klassenvariablen ist nicht vorhanden.
de,DM_CLUS_RESULTS_PERSIST_WARNING,1.0,Cluster-Ergebnistabellen k\u00f6nnen nicht beibehalten werden.
de,DM_CLUS_RESULTS_REGISTER_WARNING,1.0,Cluster-Ergebnistabellen k\u00f6nnen nicht registriert werden.
de,DM_CMRDP_CODE_TITLE,1.0,CMR Variablen-Score Code
de,DM_COPYTOCASFAILED_ERROR,1.0,Tabelle %#1s konnte nicht aus CAS-Bibliothek %#2s nach CAS-Bibliothek %#3s kopiert werden.
de,DM_DATASOURCE_VLABEL,1.0,Datenquelle
de,DM_DATASTEPEXECUTION_ERROR,1.0,Der folgende Fehlercode wurde w\u00e4hrend der Ausf\u00fchrung eines Blocks von DATA-Schrittcodes in Makro %#1s generiert: %#2s.
de,DM_DM_MISSINGSCORECODE_WARNING,1.0,Es wurde kein zur Bewertung der Tabelle verwendbarer Score Code gefunden.
