locale,key,lineno,text
en,EMTOOL.BOOL_CATLABEL_LONG_ERR,1.0,The overall length of category labels (%s) is greater than 65534 characters.
en,EMTOOL.BOOL_NO_CAT_TARGET_ERR,1.0,A categorical target variable is required for the Text Rule Builder node to run.
en,EMTOOL.BOOL_PREVIOUS_ERR,1.0,A Text Rule Builder node with the specified target variable already exists in the flow.
en,EMTOOL.CAT_DATE_TARGET_ERR,1.0,A SAS date or categorical target variable is required for the Text Profile node to run.
en,EMTOOL.CRAWLFAILED_ERR,1.0,Web crawl failed. See the log for more details.
en,EMTOOL.DOCPARSE_ERR,1.0,Proc tgparse reports %s
en,EMTOOL.EMPTYTRAIN_ERR,1.0,The TRAIN data set has 0 observations.
en,EMTOOL.EMTERMLOC_ERR,1.0,"The termloc library defined by the em_term_loc macro variable could not be established at ""%s""."
en,EMTOOL.FILTERTARGET_NOTE,1.0,"NOTE: The Text Filter node requires a non-interval target to perform target-based weighting.  Because an interval target has been specified, the target will not be used, and entropy weighting will be performed."
en,EMTOOL.FILTER_CONCEPT_ZERO,1.0,There were no significant relationships found for the link diagram.
en,EMTOOL.FILTER_DATA_ZERO_ERR,1.0,There are no terms and/or documents remaining for the analysis.
en,EMTOOL.FILTER_RERUN_ERR,1.0,The Text Filter node must be rerun before opening the interactive results.
en,EMTOOL.HOUR_DATE_ERR,1.0,Hourly binning can only be performed on a variable with format type DATETIME.
en,EMTOOL.HPTMINE_ERR,1.0,Proc hptmine reports %s
en,EMTOOL.HPTMSCORE,1.0,Proc hptmscore reports %s
en,EMTOOL.HPTMTARGET_NOTE,1.0,"NOTE: The HP Text Miner node requires a non-interval target to perform target-based weighting.  Because an interval target has been specified, the target will not be used, and entropy weighting will be performed."
en,EMTOOL.HPTM_KEY_ERR,1.0,A variable must have the role of KEY
en,EMTOOL.IMP_BADDIRECTORY_ERR,1.0,Unable to locate the Import File Directory.
en,EMTOOL.IMP_BADLANGUAGE_ERR,1.0,"Error: The specified language ""%s"" is not valid."
en,EMTOOL.IMP_NOTSTART_ERR,1.0,The filter did not execute. Import File Directory is required.
en,EMTOOL.IMP_TERMINATED_ERR,1.0,Error: The filtering terminated prematurely.
en,EMTOOL.INSUFFICIENTDATA_ERR,1.0,There is insufficient data to calculate clusters.
en,EMTOOL.INSUFFICIENTMEM_ERR,1.0,Insufficient memory to perform clustering.
en,EMTOOL.INVALID_MI_WEIGHT_ERR,1.0,No categorical target specified: Mutual Information weighting requires a categorical target.
en,EMTOOL.NEEDTARGETVAR_ERR,1.0,A categorical target variable is required for the selected term weight.
en,EMTOOL.NODISTANCEREPORT_NOTE,1.0,NOTE: Number of clusters is less than three. Distance Between Clusters report will not be generated in node's results.
en,EMTOOL.NOFILTERNODE_ERR,1.0,A preceding Text Filter node is required for this node to run.
en,EMTOOL.NOGRIDBINMACRO_ERR,1.0,The macro variable GRID_TEXTANALYTICS_BIN_LOC must be specified to run on the grid.
en,EMTOOL.NOLANGLICENSE_ERR,1.0,The language %s is either not licensed for your system or the product license has expired.
en,EMTOOL.NOPARSEVAR_ERR,1.0,A variable must have the role of TEXT or TEXTLOC
en,EMTOOL.NOPARSINGNODE_ERR,1.0,A preceding Text Parsing node is required for this node to run.
en,EMTOOL.NOPARSINGVAR_ERR,1.0,A variable must have the role of Text or Text Location.
en,EMTOOL.NOSASHDATFORHPTM_ERR,1.0,The HP Text Miner node is not supported for data from a SASHDAT engine in the EM 12.1 release.
en,EMTOOL.NOTEXTVAR_ERR,1.0,A variable must have the role of TEXT
en,EMTOOL.NOTMLICENSE_ERR,1.0,SAS Text Miner is either not licensed for your system or the product license has expired.
en,EMTOOL.NOTRAINDS_ERR,1.0,Requires a data source with the role of TRAIN or RAW
en,EMTOOL.ORD_NOM_COMBO_WARN,1.0,WARNING: At least one target must be binary to profile multiple targets. The second target variable will not be profiled.
en,EMTOOL.ORD_NOM_MULTIBIN_WARN,1.0,WARNING: Ordinal and nominal targets cannot be used in conjunction with multiple binary targets. The remaining target variables will not be profiled.
en,EMTOOL.OUTOFMEMORY_ERR,1.0,Insufficient memory.
en,EMTOOL.PARSEVAR_NOTE,1.0,NOTE: Variable used for parsing is: %s
en,EMTOOL.PRIORHPTMNODE_ERR,1.0,A second HP Text Miner node exists in the path and should be removed to run this flow.
en,EMTOOL.PRIORPARSINGNODE_ERR,1.0,A second Text Parsing node exists in the path and should be removed to run this flow.
en,EMTOOL.QUERYEXPAND_ERR,1.0,The query expansion process for the given query failed.
en,EMTOOL.SAVESYNVARS_ERR,1.0,"The selected synonym data set does not have the required variables TERM, TERMROLE, PARENT, PARENTROLE."
en,EMTOOL.SPSVDERROR_ERR,1.0,An error has occurred in Proc SPSVD.
en,EMTOOL.SYN_CHANGE_WARN,1.0,"WARNING: Synonym data sets require the variables term, termrole, parent, parentrole or term, parent, category.  Converting to term, parent, category."
en,EMTOOL.SYN_NOOPEN_ERR,1.0,Could not open the selected export data set.
en,EMTOOL.SYN_NO_PR_WARN,1.0,WARNING: The synonym data set is missing parentrole.  The termrole value will be used for parentrole.
en,EMTOOL.SYN_NO_TR_WARN,1.0,"WARNING: The synonym data set is missing termrole.  All matching terms, regardless of their role, will be mapped to the parent/parentrole."
en,EMTOOL.SYN_WRONGVAR_ERR,1.0,Exported synonym data sets require the variables term and parent.
en,EMTOOL.TGFILTER_ERR,1.0,Proc tgfilter reports %s
en,EMTOOL.TMP_DISCRIMINATION_ERR,1.0,Invalid value provided for the TMP_DISCRIMINATION macro variable.  The value must be in the range of 0-1.
en,EMTOOL.TMP_ORDNUMERIC_ERR,1.0,The type of an ordinal target variable must be numeric.
en,EMTOOL.TMSPELL_ERR,1.0,Proc tmspell reports %s
en,EMTOOL.TMUTIL_ERR,1.0,Proc tmutil reports %s
en,EMTOOL.TOOFEWOBSTOCLUS_ERR,1.0,Number of clusters cannot exceed the number of observations in the data set.
en,EMTOOL.TOOMANYTARGETVALS_ERR,1.0,The target variable has too many levels to profile.
en,EMTOOL.TOPICTOOFEWTERMS_ERR,1.0,At least 15 terms must be used to determine multi-term topics. Only %s terms provided.
en,EMTOOL.TOPIC_DATA_SMALL_ERR,1.0,At least 15 documents with one or more kept terms must be used for topic discovery. Only %s documents provided.
en,EMTOOL.TOPIC_DATA_SMALL_WARN,1.0,WARNING: There must be at least 5 documents or terms per topic specified. There were %s documents with kept terms and %s distinct terms. Thus only %s topics created.
en,EMTOOL.TOPIC_RERUN_ERR,1.0,The Text Topic node must be rerun before opening the interactive results.
en,EMTOOL.TOPIC_SPLIT_DATA_SMALL_ERR,1.0,The topic cannot be split because it does not contain a sufficient number of documents.
en,EMTOOL.TOPIC_SPLIT_TERMS_SMALL_ERR,1.0,The topic cannot be split because it does not contain a sufficient number of terms.
en,EMTOOL.TOPIC_TERMS_SMALL_ERR,1.0,At least 15 terms must be kept for topic discovery to take place. Only %s terms provided.
en,EMTOOL.UNARY_TGT_ERR,1.0,Must be more than one distinct value of the target variable.
en,EMTOOL.USERTOPIC_NOTE,1.0,%s of the original %s user topics were eliminated due to missing/zero weights or unobserved terms.
